,Organism,plasmidAccId,plasmidLength,chromosomeAccId,chromosomeLength,plasmidGC,plasmidGC,chromosmeGC
2667,Klebsiella oxytoca (enterobacteria),NZ_CP011627.1,14274,NZ_CP011636.1,6257473,48.78,48.78,55.75
2668,Klebsiella oxytoca (enterobacteria),NZ_CP011633.1,150318,NZ_CP011636.1,6257473,53.67,53.67,55.75
2669,Klebsiella oxytoca (enterobacteria),NZ_CP011628.1,16069,NZ_CP011636.1,6257473,59.34,59.34,55.75
2670,Klebsiella oxytoca (enterobacteria),NZ_CP011625.1,1919,NZ_CP011636.1,6257473,51.33,51.33,55.75
2671,Klebsiella oxytoca (enterobacteria),NZ_CP011634.1,227680,NZ_CP011636.1,6257473,53.83,53.83,55.75
2672,Klebsiella oxytoca (enterobacteria),NZ_CP011629.1,33610,NZ_CP011636.1,6257473,44.28,44.28,55.75
2673,Klebsiella oxytoca (enterobacteria),NZ_CP011630.1,49200,NZ_CP011636.1,6257473,51.27,51.27,55.75
2674,Klebsiella oxytoca (enterobacteria),NZ_CP011631.1,53596,NZ_CP011636.1,6257473,52.73,52.73,55.75
2675,Klebsiella oxytoca (enterobacteria),NZ_CP011626.1,6538,NZ_CP011636.1,6257473,51.8,51.8,55.75
2676,Klebsiella oxytoca (enterobacteria),NZ_CP011632.1,83652,NZ_CP011636.1,6257473,53.17,53.17,55.75
2677,Klebsiella oxytoca (enterobacteria),NZ_CP011635.1,332956,NZ_CP011636.1,6257473,51.46,51.46,55.75
2678,Lactobacillus sp. CBA3605 (firmicutes),NZ_CP027191.1,35855,NZ_CP027190.1,2494909,38.56,38.56,42.86
2679,Lactobacillus sp. CBA3605 (firmicutes),NZ_CP027192.1,11850,NZ_CP027190.1,2494909,44.72,44.72,42.86
2680,Lactobacillus sp. CBA3605 (firmicutes),NZ_CP027193.1,9970,NZ_CP027190.1,2494909,35.54,35.54,42.86
2681,Parageobacillus thermoglucosidasius (firmicutes),NZ_CP016623.1,83925,NZ_CP016622.1,3873105,43.62,43.62,43.89
2682,Parageobacillus thermoglucosidasius (firmicutes),NZ_CP016624.1,47893,NZ_CP016622.1,3873105,39.01,39.01,43.89
2683,Klebsiella pneumoniae (enterobacteria),NZ_CP026179.1,237571,NZ_CP026178.1,5403218,51.41,51.41,57.25
2684,Klebsiella pneumoniae (enterobacteria),NZ_CP026182.1,61178,NZ_CP026178.1,5403218,52.68,52.68,57.25
2685,Klebsiella pneumoniae (enterobacteria),NZ_CP026186.1,373179,NZ_CP026178.1,5403218,48.03,48.03,57.25
2686,Klebsiella pneumoniae (enterobacteria),NZ_CP026181.1,94405,NZ_CP026178.1,5403218,53.61,53.61,57.25
2687,Klebsiella pneumoniae (enterobacteria),NZ_CP026180.1,97198,NZ_CP026178.1,5403218,51.97,51.97,57.25
2688,Klebsiella pneumoniae (enterobacteria),NZ_CP026185.1,40784,NZ_CP026178.1,5403218,50.13,50.13,57.25
2689,Klebsiella pneumoniae (enterobacteria),NZ_CP026184.1,60046,NZ_CP026178.1,5403218,52.05,52.05,57.25
2690,Klebsiella pneumoniae (enterobacteria),NZ_CP026183.1,6974,NZ_CP026178.1,5403218,50.06,50.06,57.25
2691,Flavobacterium branchiophilum FL-15 (CFB group bacteria),NC_018751.1,3408,NC_016001.1,3559884,33.48,33.48,32.86
2692,Enterobacter cloacae (enterobacteria),NZ_CP019840.1,85262,NZ_CP019839.1,4812230,52.63,52.63,55.92
2693,Enterobacter cloacae (enterobacteria),NZ_CP019841.1,79101,NZ_CP019839.1,4812230,51.0,51.0,55.92
2694,Enterobacter cloacae (enterobacteria),NZ_CP019842.1,11748,NZ_CP019839.1,4812230,54.98,54.98,55.92
2695,Enterobacter cloacae (enterobacteria),NZ_CP019843.1,4667,NZ_CP019839.1,4812230,51.23,51.23,55.92
2696,Staphylococcus haemolyticus (firmicutes),NZ_CP025033.1,41662,NZ_CP025031.1,2632932,29.64,29.64,32.84
2697,Arthrobacter sp. FB24 (high GC Gram+),NC_008537.1,159538,NC_008541.1,4698945,65.03,65.03,65.47
2698,Arthrobacter sp. FB24 (high GC Gram+),NC_008538.1,115507,NC_008541.1,4698945,63.32,63.32,65.47
2699,Arthrobacter sp. FB24 (high GC Gram+),NC_008539.1,96488,NC_008541.1,4698945,64.67,64.67,65.47
2700,Acinetobacter baumannii (g-proteobacteria),NZ_CP026705.1,113706,NZ_CP026707.1,3993843,42.79,42.79,39.12
2701,Acinetobacter baumannii (g-proteobacteria),NZ_CP026706.1,72105,NZ_CP026707.1,3993843,33.62,33.62,39.12
2702,Acinetobacter baumannii (g-proteobacteria),NZ_CP026708.1,8731,NZ_CP026707.1,3993843,34.37,34.37,39.12
2703,Enterococcus gallinarum (firmicutes),NZ_CP014068.2,88126,NZ_CP014067.2,3733350,39.04,39.04,42.4
2704,Borreliella valaisiana Tom4006 (spirochetes),NZ_CP009118.1,26565,NZ_CP009117.1,912160,25.7,25.7,28.12
2705,Borreliella valaisiana Tom4006 (spirochetes),NZ_CP009119.1,53970,NZ_CP009117.1,912160,27.45,27.45,28.12
2706,Escherichia coli (E. coli),NZ_CP027391.1,98724,NZ_CP027390.1,5802748,47.92,47.92,50.68
2707,Campylobacter jejuni (e-proteobacteria),NZ_CP017861.1,43077,NZ_CP017860.1,1762596,28.97,28.97,30.25
2708,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016685.1,75119,NZ_CP015894.1,2250607,33.04,33.04,35.88
2709,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016686.1,57981,NZ_CP015894.1,2250607,33.56,33.56,35.88
2710,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016687.1,51651,NZ_CP015894.1,2250607,34.57,34.57,35.88
2711,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016688.1,33287,NZ_CP015894.1,2250607,37.39,37.39,35.88
2712,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016689.1,11679,NZ_CP015894.1,2250607,34.05,34.05,35.88
2713,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016690.1,6164,NZ_CP015894.1,2250607,35.84,35.84,35.88
2714,Clostridium butyricum (firmicutes),NZ_CP013240.1,9567,NZ_CP013239.1,3809831,26.82,26.82,28.81
2715,Clostridium butyricum (firmicutes),NZ_CP013238.1,820516,NZ_CP013239.1,3809831,28.18,28.18,28.81
2716,Caulobacter henricii (a-proteobacteria),NZ_CP013003.1,93084,NZ_CP013002.1,3864204,65.36,65.36,65.8
2717,Geobacter lovleyi SZ (d-proteobacteria),NC_010815.1,77113,NC_010814.1,3917761,52.97,52.97,54.77
2718,Azospirillum sp. TSH58 (a-proteobacteria),NZ_CP022367.1,1910929,NZ_CP022364.1,3020351,69.18,69.18,69.0
2719,Azospirillum sp. TSH58 (a-proteobacteria),NZ_CP022363.1,836998,NZ_CP022364.1,3020351,69.5,69.5,69.0
2720,Azospirillum sp. TSH58 (a-proteobacteria),NZ_CP022366.1,660876,NZ_CP022364.1,3020351,69.74,69.74,69.0
2721,Azospirillum sp. TSH58 (a-proteobacteria),NZ_CP022369.1,568757,NZ_CP022364.1,3020351,69.78,69.78,69.0
2722,Azospirillum sp. TSH58 (a-proteobacteria),NZ_CP022365.1,200555,NZ_CP022364.1,3020351,66.59,66.59,69.0
2723,Azospirillum sp. TSH58 (a-proteobacteria),NZ_CP022368.1,45608,NZ_CP022364.1,3020351,61.83,61.83,69.0
2724,Pseudomonas syringae pv. tomato (g-proteobacteria),NZ_CP019872.1,125801,NZ_CP019871.1,6220728,60.06,60.06,58.58
2725,Pseudomonas syringae pv. tomato (g-proteobacteria),NZ_CP019873.1,93873,NZ_CP019871.1,6220728,55.2,55.2,58.58
2726,Pseudomonas syringae pv. tomato (g-proteobacteria),NZ_CP019874.1,82965,NZ_CP019871.1,6220728,55.43,55.43,58.58
2727,Psychrobacter cryohalolentis K5 (g-proteobacteria),NC_007968.1,41221,NC_007969.1,3059876,38.26,38.26,42.29
2728,Acinetobacter baumannii (g-proteobacteria),NZ_CP012005.1,148955,NZ_CP012004.1,3857743,37.48,37.48,39.01
2729,Deinococcus proteolyticus MRP (bacteria),NC_015169.1,314518,NC_015161.1,2147060,66.47,66.47,66.16
2730,Deinococcus proteolyticus MRP (bacteria),NC_015162.1,195800,NC_015161.1,2147060,61.43,61.43,66.16
2731,Deinococcus proteolyticus MRP (bacteria),NC_015170.1,132270,NC_015161.1,2147060,66.14,66.14,66.16
2732,Deinococcus proteolyticus MRP (bacteria),NC_015163.1,97188,NC_015161.1,2147060,59.21,59.21,66.16
2733,Xanthomonas citri pv. phaseoli var. fuscans (g-proteobacteria),NZ_CP020980.1,77006,NZ_CP020979.1,5122265,61.03,61.03,64.68
2734,Xanthomonas fragariae (g-proteobacteria),NZ_CP016831.1,29232,NZ_CP016830.1,4232635,57.77,57.77,62.3
2735,Xanthomonas fragariae (g-proteobacteria),NZ_CP016832.1,20831,NZ_CP016830.1,4232635,62.85,62.85,62.3
2736,Phaeobacter gallaeciensis (a-proteobacteria),NZ_CP010589.1,256057,NZ_CP010588.1,3776904,57.98,57.98,59.62
2737,Phaeobacter gallaeciensis (a-proteobacteria),NZ_CP010590.1,133621,NZ_CP010588.1,3776904,59.85,59.85,59.62
2738,Phaeobacter gallaeciensis (a-proteobacteria),NZ_CP010591.1,109815,NZ_CP010588.1,3776904,56.44,56.44,59.62
2739,Phaeobacter gallaeciensis (a-proteobacteria),NZ_CP010592.1,77876,NZ_CP010588.1,3776904,61.98,61.98,59.62
2740,Phaeobacter gallaeciensis (a-proteobacteria),NZ_CP010593.1,68752,NZ_CP010588.1,3776904,62.9,62.9,59.62
2741,Phaeobacter gallaeciensis (a-proteobacteria),NZ_CP010594.1,40169,NZ_CP010588.1,3776904,56.15,56.15,59.62
2742,Vibrio owensii (g-proteobacteria),NZ_CP025798.1,96819,NZ_CP025796.1,3797023,44.13,44.13,45.38
2743,Altererythrobacter atlanticus (a-proteobacteria),NZ_CP011453.2,88815,NZ_CP011452.2,3386291,62.37,62.37,61.9
2744,Klebsiella pneumoniae (enterobacteria),NZ_CP021697.1,191266,NZ_CP021696.1,5165071,49.78,49.78,57.6
2745,Klebsiella pneumoniae (enterobacteria),NZ_CP021698.1,87411,NZ_CP021696.1,5165071,51.92,51.92,57.6
2746,Klebsiella pneumoniae (enterobacteria),NZ_CP021699.1,354705,NZ_CP021696.1,5165071,47.85,47.85,57.6
2747,Klebsiella pneumoniae (enterobacteria),NZ_CP021700.1,8364,NZ_CP021696.1,5165071,49.23,49.23,57.6
2748,Citrobacter freundii (enterobacteria),NZ_CP024681.1,134386,NZ_CP024680.1,4859315,51.15,51.15,51.71
2749,Citrobacter freundii (enterobacteria),NZ_CP024682.1,71274,NZ_CP024680.1,4859315,55.54,55.54,51.71
2750,Enterobacter cloacae (enterobacteria),NZ_CP011579.1,33610,NZ_CP011581.1,4881003,44.28,44.28,55.37
2751,Enterobacter cloacae (enterobacteria),NZ_CP011580.1,90452,NZ_CP011581.1,4881003,56.98,56.98,55.37
2752,Xanthomonas citri subsp. citri (g-proteobacteria),NZ_CP009005.1,26933,NZ_CP009007.1,5175551,61.6,61.6,64.77
2753,Xanthomonas citri subsp. citri (g-proteobacteria),NZ_CP009006.1,64920,NZ_CP009007.1,5175551,61.39,61.39,64.77
2754,Klebsiella oxytoca (enterobacteria),NZ_CP011617.1,115319,NZ_CP011618.1,6229565,51.48,51.48,54.91
2755,Klebsiella oxytoca (enterobacteria),NZ_CP011616.1,117623,NZ_CP011618.1,6229565,49.63,49.63,54.91
2756,Klebsiella oxytoca (enterobacteria),NZ_CP011613.1,5410,NZ_CP011618.1,6229565,52.22,52.22,54.91
2757,Klebsiella oxytoca (enterobacteria),NZ_CP011614.1,92095,NZ_CP011618.1,6229565,53.23,53.23,54.91
2758,Klebsiella oxytoca (enterobacteria),NZ_CP011615.1,113105,NZ_CP011618.1,6229565,54.18,54.18,54.91
2759,Escherichia coli 1303 (E. coli),NZ_CP009167.1,108501,NZ_CP009166.1,4948797,47.78,47.78,50.73
2760,Escherichia coli 1303 (E. coli),NZ_CP009169.1,4671,NZ_CP009166.1,4948797,45.75,45.75,50.73
2761,Escherichia coli 1303 (E. coli),NZ_CP009168.1,94959,NZ_CP009166.1,4948797,48.08,48.08,50.73
2762,Klebsiella pneumoniae (enterobacteria),NZ_CP021709.1,186758,NZ_CP021708.1,5439290,50.84,50.84,57.41
2763,Klebsiella pneumoniae (enterobacteria),NZ_CP021710.1,214114,NZ_CP021708.1,5439290,52.34,52.34,57.41
2764,Klebsiella pneumoniae (enterobacteria),NZ_CP021711.1,78638,NZ_CP021708.1,5439290,51.77,51.77,57.41
2765,Klebsiella pneumoniae (enterobacteria),NZ_CP021712.1,70457,NZ_CP021708.1,5439290,52.9,52.9,57.41
2766,Klebsiella pneumoniae 30660/NJST258_1 (enterobacteria),NZ_CP006927.1,142788,NZ_CP006923.1,5263229,51.78,51.78,57.42
2767,Klebsiella pneumoniae 30660/NJST258_1 (enterobacteria),NZ_CP006926.1,73636,NZ_CP006923.1,5263229,53.94,53.94,57.42
2768,Klebsiella pneumoniae 30660/NJST258_1 (enterobacteria),NZ_CP006925.1,36109,NZ_CP006923.1,5263229,51.8,51.8,57.42
2769,Klebsiella pneumoniae 30660/NJST258_1 (enterobacteria),NZ_CP006928.1,14249,NZ_CP006923.1,5263229,53.34,53.34,57.42
2770,Klebsiella pneumoniae 30660/NJST258_1 (enterobacteria),NZ_CP006924.1,10925,NZ_CP006923.1,5263229,49.22,49.22,57.42
2771,Glutamicibacter nicotianae (high GC Gram+),NZ_CP033082.1,123894,NZ_CP033081.1,3643989,56.62,56.62,61.91
2772,Glutamicibacter nicotianae (high GC Gram+),NZ_CP033083.1,29841,NZ_CP033081.1,3643989,60.18,60.18,61.91
2773,Arthrobacter sp. ZXY-2 (high GC Gram+),NZ_CP017422.1,288370,NZ_CP017421.1,4495402,61.92,61.92,63.56
2774,Arthrobacter sp. ZXY-2 (high GC Gram+),NZ_CP017423.1,116799,NZ_CP017421.1,4495402,60.93,60.93,63.56
2775,Arthrobacter sp. ZXY-2 (high GC Gram+),NZ_CP017424.1,65137,NZ_CP017421.1,4495402,61.5,61.5,63.56
2776,Arthrobacter sp. ZXY-2 (high GC Gram+),NZ_CP017425.1,64244,NZ_CP017421.1,4495402,59.83,59.83,63.56
2777,Arthrobacter sp. ZXY-2 (high GC Gram+),NZ_CP017426.1,28756,NZ_CP017421.1,4495402,61.51,61.51,63.56
2778,Klebsiella aerogenes (enterobacteria),NZ_CP014747.1,82007,NZ_CP014748.2,5215793,51.96,51.96,55.1
2779,Escherichia coli (E. coli),NZ_CP029365.1,89248,NZ_CP029369.1,4695840,47.48,47.48,50.69
2780,Escherichia coli (E. coli),NZ_CP029366.1,2101,NZ_CP029369.1,4695840,47.17,47.17,50.69
2781,Escherichia coli (E. coli),NZ_CP029367.1,34321,NZ_CP029369.1,4695840,48.72,48.72,50.69
2782,Escherichia coli (E. coli),NZ_CP029368.1,122194,NZ_CP029369.1,4695840,51.92,51.92,50.69
2783,Escherichia coli O127:H6 str. E2348/69 (E. coli),NC_011602.1,6147,NC_011601.1,4965553,52.76,52.76,50.57
2784,Escherichia coli O127:H6 str. E2348/69 (E. coli),NC_011603.1,97978,NC_011601.1,4965553,48.01,48.01,50.57
2785,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (firmicutes),NC_007351.1,38454,NC_007350.1,2516575,30.75,30.75,33.24
2786,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (firmicutes),NC_007352.1,22870,NC_007350.1,2516575,31.34,31.34,33.24
2787,Helicobacter pylori SS1 (e-proteobacteria),NZ_CP009260.1,5845,NZ_CP009259.1,1619098,37.31,37.31,39.02
2788,Bacillus anthracis str. Sterne (firmicutes),NZ_CP009540.1,181624,NZ_CP009541.1,5227496,32.53,32.53,35.38
2789,Staphylococcus aureus (firmicutes),NZ_CP026954.1,6318,NZ_CP026953.1,2834575,25.94,25.94,32.89
2790,Staphylococcus aureus (firmicutes),NZ_CP026955.1,4341,NZ_CP026953.1,2834575,30.96,30.96,32.89
2791,Staphylococcus aureus (firmicutes),NZ_CP026956.1,2117,NZ_CP026953.1,2834575,28.06,28.06,32.89
2792,Xanthomonas citri pv. vignicola (g-proteobacteria),NZ_CP022264.1,148077,NZ_CP022263.1,5446452,62.18,62.18,64.62
2793,Xanthomonas citri pv. vignicola (g-proteobacteria),NZ_CP022266.1,63484,NZ_CP022263.1,5446452,60.53,60.53,64.62
2794,Xanthomonas citri pv. vignicola (g-proteobacteria),NZ_CP022265.1,52486,NZ_CP022263.1,5446452,61.55,61.55,64.62
2795,Borreliella bissettii DN127 (spirochetes),NC_015907.1,26473,NC_015921.1,900755,26.39,26.39,28.7
2796,Borreliella bissettii DN127 (spirochetes),NC_015903.1,30294,NC_015921.1,900755,29.54,29.54,28.7
2797,Borreliella bissettii DN127 (spirochetes),NC_015908.1,30547,NC_015921.1,900755,28.83,28.83,28.7
2798,Borreliella bissettii DN127 (spirochetes),NC_015904.1,30529,NC_015921.1,900755,29.21,29.21,28.7
2799,Borreliella bissettii DN127 (spirochetes),NC_015909.1,29936,NC_015921.1,900755,29.54,29.54,28.7
2800,Borreliella bissettii DN127 (spirochetes),NC_015905.1,30092,NC_015921.1,900755,29.27,29.27,28.7
2801,Borreliella bissettii DN127 (spirochetes),NC_015910.1,30767,NC_015921.1,900755,29.03,29.03,28.7
2802,Borreliella bissettii DN127 (spirochetes),NC_015906.1,66242,NC_015921.1,900755,27.47,27.47,28.7
2803,Borreliella bissettii DN127 (spirochetes),NC_015911.1,10209,NC_015921.1,900755,24.41,24.41,28.7
2804,Borreliella bissettii DN127 (spirochetes),NC_015915.1,27137,NC_015921.1,900755,24.58,24.58,28.7
2805,Borreliella bissettii DN127 (spirochetes),NC_015922.1,23029,NC_015921.1,900755,23.6,23.6,28.7
2806,Borreliella bissettii DN127 (spirochetes),NC_015916.1,24945,NC_015921.1,900755,24.02,24.02,28.7
2807,Borreliella bissettii DN127 (spirochetes),NC_015917.1,27319,NC_015921.1,900755,24.77,24.77,28.7
2808,Borreliella bissettii DN127 (spirochetes),NC_015918.1,30502,NC_015921.1,900755,27.53,27.53,28.7
2809,Borreliella bissettii DN127 (spirochetes),NC_015919.1,55219,NC_015921.1,900755,28.34,28.34,28.7
2810,Borreliella bissettii DN127 (spirochetes),NC_015920.1,29448,NC_015921.1,900755,31.52,31.52,28.7
2811,Rhizobium sp. IE4771 (a-proteobacteria),NZ_CP006987.1,244771,NZ_CP006986.1,4475387,58.77,58.77,61.53
2812,Rhizobium sp. IE4771 (a-proteobacteria),NZ_CP006988.1,393846,NZ_CP006986.1,4475387,57.49,57.49,61.53
2813,Rhizobium sp. IE4771 (a-proteobacteria),NZ_CP006989.1,470125,NZ_CP006986.1,4475387,61.95,61.95,61.53
2814,Rhizobium sp. IE4771 (a-proteobacteria),NZ_CP006990.1,729172,NZ_CP006986.1,4475387,61.22,61.22,61.53
2815,Rhizobium sp. IE4771 (a-proteobacteria),NZ_CP006991.1,744104,NZ_CP006986.1,4475387,60.74,60.74,61.53
2816,Lactobacillus plantarum (firmicutes),NZ_CP013750.1,127346,NZ_CP013749.1,3418468,40.46,40.46,44.43
2817,Lactobacillus plantarum (firmicutes),NZ_CP013751.1,78406,NZ_CP013749.1,3418468,42.51,42.51,44.43
2818,Lactobacillus plantarum (firmicutes),NZ_CP013752.1,68522,NZ_CP013749.1,3418468,36.52,36.52,44.43
2819,Lactobacillus plantarum subsp. plantarum P-8 (firmicutes),NC_021233.2,45418,NC_021224.2,3035719,39.67,39.67,44.8
2820,Lactobacillus plantarum subsp. plantarum P-8 (firmicutes),NC_021225.2,49018,NC_021224.2,3035719,42.01,42.01,44.8
2821,Lactobacillus plantarum subsp. plantarum P-8 (firmicutes),NC_021226.2,39468,NC_021224.2,3035719,42.29,42.29,44.8
2822,Lactobacillus plantarum subsp. plantarum P-8 (firmicutes),NC_021234.2,37042,NC_021224.2,3035719,41.24,41.24,44.8
2823,Lactobacillus plantarum subsp. plantarum P-8 (firmicutes),NC_021227.2,16105,NC_021224.2,3035719,42.14,42.14,44.8
2824,Lactobacillus plantarum subsp. plantarum P-8 (firmicutes),NC_021228.1,8686,NC_021224.2,3035719,35.98,35.98,44.8
2825,Lactobacillus plantarum subsp. plantarum P-8 (firmicutes),NZ_CP010527.1,15174,NC_021224.2,3035719,39.68,39.68,44.8
2826,Catenovulum sp. CCB-QB4 (g-proteobacteria),NZ_CP026605.1,208085,NZ_CP026604.1,5663044,41.88,41.88,41.25
2827,Staphylococcus simulans (firmicutes),NZ_CP015643.1,87667,NZ_CP015642.1,2661512,30.68,30.68,36.07
2828,Staphylococcus simulans (firmicutes),NZ_CP015644.1,62730,NZ_CP015642.1,2661512,30.8,30.8,36.07
2829,Paenibacillus polymyxa M1 (firmicutes),NC_017543.1,366576,NC_017542.1,5864546,38.38,38.38,45.16
2830,Escherichia coli (E. coli),NZ_CP032875.1,92538,NZ_CP032879.1,5094619,47.73,47.73,50.71
2831,Escherichia coli (E. coli),NZ_CP032876.1,5167,NZ_CP032879.1,5094619,47.51,47.51,50.71
2832,Escherichia coli (E. coli),NZ_CP032877.1,150853,NZ_CP032879.1,5094619,51.64,51.64,50.71
2833,Escherichia coli (E. coli),NZ_CP032878.1,45484,NZ_CP032879.1,5094619,51.28,51.28,50.71
2834,Rhodobacter sp. CZR27 (a-proteobacteria),NZ_CP023549.1,860520,NZ_CP023548.1,3335106,68.35,68.35,68.52
2835,Rhodobacter sp. CZR27 (a-proteobacteria),NZ_CP023550.1,193105,NZ_CP023548.1,3335106,69.37,69.37,68.52
2836,Rhodobacter sp. CZR27 (a-proteobacteria),NZ_CP023551.1,48382,NZ_CP023548.1,3335106,69.83,69.83,68.52
2837,Klebsiella pneumoniae (enterobacteria),NZ_CP029000.1,125913,NZ_CP028994.1,5511019,52.3,52.3,57.19
2838,Klebsiella pneumoniae (enterobacteria),NZ_CP028999.1,46504,NZ_CP028994.1,5511019,49.73,49.73,57.19
2839,Klebsiella pneumoniae (enterobacteria),NZ_CP028998.1,10077,NZ_CP028994.1,5511019,55.04,55.04,57.19
2840,Klebsiella pneumoniae (enterobacteria),NZ_CP028997.1,109938,NZ_CP028994.1,5511019,49.26,49.26,57.19
2841,Klebsiella pneumoniae (enterobacteria),NZ_CP028996.1,176325,NZ_CP028994.1,5511019,51.91,51.91,57.19
2842,Klebsiella pneumoniae (enterobacteria),NZ_CP028995.1,152176,NZ_CP028994.1,5511019,51.46,51.46,57.19
2843,Klebsiella pneumoniae (enterobacteria),NZ_CP024550.1,187611,NZ_CP024549.1,5298228,53.07,53.07,57.47
2844,Klebsiella pneumoniae (enterobacteria),NZ_CP024551.1,147932,NZ_CP024549.1,5298228,52.28,52.28,57.47
2845,Klebsiella pneumoniae (enterobacteria),NZ_CP024552.1,89345,NZ_CP024549.1,5298228,50.68,50.68,57.47
2846,Klebsiella pneumoniae (enterobacteria),NZ_CP024553.1,4660,NZ_CP024549.1,5298228,43.8,43.8,57.47
2847,Klebsiella pneumoniae (enterobacteria),NZ_CP024554.1,4510,NZ_CP024549.1,5298228,44.72,44.72,57.47
2848,Klebsiella pneumoniae (enterobacteria),NZ_CP024555.1,3825,NZ_CP024549.1,5298228,46.48,46.48,57.47
2849,Enterobacter cloacae (enterobacteria),NZ_CP030345.1,152715,NZ_CP030347.1,5018145,50.13,50.13,55.55
2850,Enterobacter cloacae (enterobacteria),NZ_CP030346.1,4858,NZ_CP030347.1,5018145,52.37,52.37,55.55
2851,Enterobacter cloacae (enterobacteria),NZ_CP030348.1,2089,NZ_CP030347.1,5018145,50.45,50.45,55.55
2852,Enterobacter cloacae (enterobacteria),NZ_CP030349.1,1917,NZ_CP030347.1,5018145,52.27,52.27,55.55
2853,Enterobacter cloacae (enterobacteria),NZ_CP030350.1,106698,NZ_CP030347.1,5018145,51.89,51.89,55.55
2854,Rickettsia amblyommatis (a-proteobacteria),NZ_CP012421.1,18046,NZ_CP012420.1,1415369,32.23,32.23,32.39
2855,Rickettsia amblyommatis (a-proteobacteria),NZ_CP012422.1,22798,NZ_CP012420.1,1415369,33.42,33.42,32.39
2856,[Clostridium] bolteae (firmicutes),NZ_CP022465.2,43860,NZ_CP022464.2,6570176,41.56,41.56,49.1
2857,Agrobacterium tumefaciens (a-proteobacteria),NZ_CP032919.1,814493,NZ_CP032917.1,2766748,57.67,57.67,58.86
2858,Agrobacterium tumefaciens (a-proteobacteria),NZ_CP032920.1,194263,NZ_CP032917.1,2766748,54.65,54.65,58.86
2859,Acinetobacter baumannii BJAB0868 (g-proteobacteria),NC_021730.1,8721,NC_021729.1,3906795,34.34,34.34,39.02
2860,Acinetobacter baumannii BJAB0868 (g-proteobacteria),NC_021731.1,70167,NC_021729.1,3906795,33.83,33.83,39.02
2861,Acinetobacter baumannii BJAB0868 (g-proteobacteria),NC_021732.1,20139,NC_021729.1,3906795,47.09,47.09,39.02
2862,Escherichia coli (E. coli),NZ_CP023816.1,145883,NZ_CP023815.1,4937350,51.67,51.67,50.48
2863,Enterococcus faecalis (firmicutes),NZ_CP015884.1,125418,NZ_CP015883.1,2873100,32.94,32.94,37.45
2864,Enterococcus faecalis (firmicutes),NZ_CP015885.1,55548,NZ_CP015883.1,2873100,35.11,35.11,37.45
2865,Acidipropionibacterium acidipropionici (high GC Gram+),NZ_CP014353.1,2365,NZ_CP014352.1,3704826,67.78,67.78,68.69
2866,Phaeobacter inhibens (a-proteobacteria),NZ_CP019308.1,241798,NZ_CP019307.1,3718082,58.51,58.51,59.75
2867,Phaeobacter inhibens (a-proteobacteria),NZ_CP019309.1,184542,NZ_CP019307.1,3718082,55.43,55.43,59.75
2868,Phaeobacter inhibens (a-proteobacteria),NZ_CP019310.1,78194,NZ_CP019307.1,3718082,62.64,62.64,59.75
2869,Phaeobacter inhibens (a-proteobacteria),NZ_CP019311.1,68760,NZ_CP019307.1,3718082,63.3,63.3,59.75
2870,Legionella pneumophila subsp. pneumophila (g-proteobacteria),NZ_CP021287.1,129880,NZ_CP021286.1,3508676,37.46,37.46,38.31
2871,Xanthomonas gardneri (g-proteobacteria),NZ_CP018732.1,203385,NZ_CP018731.1,5313102,59.15,59.15,63.55
2872,Xanthomonas gardneri (g-proteobacteria),NZ_CP018733.1,61840,NZ_CP018731.1,5313102,60.06,60.06,63.55
2873,Xanthomonas gardneri (g-proteobacteria),NZ_CP018734.1,47122,NZ_CP018731.1,5313102,62.16,62.16,63.55
2874,Gemmatirosa kalamazoonesis (bacteria),NZ_CP007129.1,1106233,NZ_CP007128.1,5311527,72.7,72.7,72.56
2875,Gemmatirosa kalamazoonesis (bacteria),NZ_CP007130.1,1040503,NZ_CP007128.1,5311527,72.81,72.81,72.56
2876,Staphylococcus aureus (firmicutes),NZ_AP014943.1,27490,NZ_AP014942.1,2775733,30.68,30.68,32.88
2877,Pseudomonas mendocina S5.2 (g-proteobacteria),NZ_CP013125.1,252328,NZ_CP013124.1,5120146,55.61,55.61,62.71
2878,Acinetobacter baumannii (g-proteobacteria),NZ_CP016299.1,110967,NZ_CP016298.1,3965390,41.61,41.61,39.01
2879,Bacillus anthracis str. CDC 684 (firmicutes),NC_012579.1,181773,NC_012581.1,5230115,32.53,32.53,35.38
2880,Bacillus anthracis str. CDC 684 (firmicutes),NC_012577.1,94875,NC_012581.1,5230115,33.05,33.05,35.38
2881,Vibrio anguillarum (g-proteobacteria),NZ_CP023312.1,292095,NZ_CP023310.1,3323092,41.9,41.9,44.95
2882,Campylobacter jejuni subsp. jejuni 81-176 (e-proteobacteria),NC_008790.1,45025,NC_008787.1,1616554,29.09,29.09,30.62
