,AccID,Organism,Length,GC-content
1755,NC_012944.1,"Escherichia coli Vir68 plasmid pVir68, complete sequence",138362,48.38
1756,NC_012961.1,Photorhabdus asymbiotica ATCC43949 plasmid pPAU1 complete sequence,29330,40.5
1757,NC_012970.1,"Methylovorus glucosetrophus SIP3-4 plasmid pMsip01, complete sequence",76680,45.71
1758,NC_012972.1,"Methylovorus glucosetrophus SIP3-4 plasmid pMsip02, complete sequence",9816,47.4
1759,NC_012983.1,"Hirschia baltica ATCC 49814 plasmid pHbal01, complete sequence",84492,43.54
1760,NC_012987.1,"Methylobacterium extorquens str. DM4 plasmid p1METDI, complete genome",141504,65.32
1761,NC_012989.1,"Methylobacterium extorquens str. DM4 plasmid p2METDI, complete genome",38579,63.74
1762,NC_013010.1,"Escherichia coli O157:H7 str. TW14359 plasmid pO157, complete sequence",94601,47.89
1763,NC_013033.1,"Staphylococcus simulans bv. staphylolyticus plasmid pACK4, complete sequence",3592,35.97
1764,NC_013034.2,"Staphylococcus aureus subsp. aureus ST398 plasmid pKKS825, complete sequence",14362,33.2
1765,NC_013056.1,"Acinetobacter calcoaceticus strain Acal H12O-07 plasmid pMMCU1, complete sequence",8771,34.76
1766,NC_013090.1,"Endophytic bacterium LOB-07 plasmid pLK39, complete sequence",4029,55.4
1767,NC_013091.1,"Francisella philomiragia plasmid pF242, complete sequence",3936,28.46
1768,NC_013092.1,"Francisella philomiragia subsp. philomiragia ATCC 25017 plasmid pF243, complete sequence",5072,31.88
1769,NC_013104.1,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid pSRC15, complete sequence",8688,60.96
1770,NC_013120.1,"Escherichia coli plasmid pEK204, complete sequence",93732,49.75
1771,NC_013121.1,"Escherichia coli plasmid pEK516, complete sequence",64471,52.7
1772,NC_013122.1,"Escherichia coli plasmid pEK499, complete sequence",117536,52.69
1773,NC_013128.1,"Borrelia burgdorferi 297 plasmid 297_lp54, complete sequence",48220,28.26
1774,NC_013129.1,"Borrelia burgdorferi JD1 plasmid JD1_lp54, complete sequence",52916,28.2
1775,NC_013130.1,"Borrelia burgdorferi N40 plasmid N40_lp54, complete sequence",53786,28.14
1776,NC_013160.1,"Cyanothece sp. PCC 8802 plasmid pP880201, complete sequence",75678,39.46
1777,NC_013163.1,"Cyanothece sp. PCC 8802 plasmid pP880202, complete sequence",23870,41.5
1778,NC_013164.1,"Anaerococcus prevotii DSM 20548 plasmid pAPRE01, complete sequence",115566,28.63
1779,NC_013167.1,"Cyanothece sp. PCC 8802 plasmid pP880203, complete sequence",22723,39.26
1780,NC_013168.1,"Cyanothece sp. PCC 8802 plasmid pP880204, complete sequence",11263,38.29
1781,NC_013175.1,"Escherichia coli plasmid pEC14_114, complete sequence",114222,51.03
1782,NC_013176.1,"Pseudomonas putida plasmid pW2, complete sequence",76494,62.08
1783,NC_013178.1,"Vibrio alginolyticus strain E259 plasmid pVAE259, complete sequence",6075,42.16
1784,NC_013190.1,"Candidatus Accumulibacter phosphatis clade IIA str. UW-1 plasmid pAph02, complete sequence",42325,60.7
1785,NC_013191.1,"Candidatus Accumulibacter phosphatis clade IIA str. UW-1 plasmid pAph03, complete sequence",37695,59.29
1786,NC_013193.1,"Candidatus Accumulibacter phosphatis clade IIA str. UW-1 plasmid pAph01, complete sequence",167595,61.57
1787,NC_013200.1,"Lactobacillus rhamnosus Lc 705 plasmid sequence, strain Lc 705",64508,43.5
1788,NC_013206.1,"Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446 plasmid pAACI01, complete sequence",91726,54.14
1789,NC_013207.1,"Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446 plasmid pAACI02, complete sequence",87298,55.42
1790,NC_013208.1,"Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446 plasmid pAACI03, complete sequence",7907,54.34
1791,NC_013210.1,"Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-011 DNA, complete genome",191799,53.36
1792,NC_013211.1,"Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-020 DNA, complete genome",182940,53.5
1793,NC_013212.1,"Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-030 DNA, complete genome",49961,53.88
1794,NC_013213.1,"Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-040 DNA, complete genome",3204,53.75
1795,NC_013214.1,"Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-050 DNA, complete genome",3035,55.78
1796,NC_013215.1,"Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-060 DNA, complete genome",1815,58.57
1797,NC_013224.1,"Desulfohalobium retbaense DSM 5692 plasmid pDRET01, complete sequence",45263,44.09
1798,NC_013263.1,Erwinia pyrifoliae strain Ep1/96 complete plasmid pEp36,35909,49.89
1799,NC_013264.1,Erwinia pyrifoliae strain Ep1/96 complete plasmid pEp03,3070,48.96
1800,NC_013265.1,Erwinia pyrifoliae strain Ep1/96 complete plasmid pEp05,4955,53.16
1801,NC_013277.1,"Acinetobacter baumannii plasmid pMMA2, complete sequence",10679,34.81
1802,NC_013283.1,"Cronobacter turicensis z3032 plasmid pCTU1, complete sequence",138339,56.05
1803,NC_013284.1,"Cronobacter turicensis z3032 plasmid pCTU2, complete sequence",22448,49.22
1804,NC_013285.1,"Cronobacter turicensis z3032 plasmid pCTU3, complete sequence",53842,50.04
1805,NC_013289.1,"Staphylococcus aureus plasmid SAP015A, complete sequence",27068,30.54
1806,NC_013290.1,"Staphylococcus aureus plasmid pWBG750, complete sequence",20653,28.37
1807,NC_013291.1,"Staphylococcus aureus plasmid pWBG751, complete sequence",2473,30.81
1808,NC_013292.1,"Staphylococcus aureus plasmid pWBG752, complete sequence",24654,28.66
1809,NC_013293.1,"Staphylococcus aureus plasmid pWBG757, complete sequence",20730,28.37
1810,NC_013294.1,"Staphylococcus aureus plasmid SAP046A, complete sequence",27068,30.54
1811,NC_013295.1,"Staphylococcus aureus plasmid SAP046B, complete sequence",3125,28.74
1812,NC_013296.1,"Staphylococcus aureus plasmid SAP049A, complete sequence",25022,30.63
1813,NC_013297.1,"Staphylococcus aureus plasmid SAP049B, complete sequence",3125,28.74
1814,NC_013298.1,"Staphylococcus aureus plasmid SAP050A, complete sequence",27067,30.54
1815,NC_013299.1,"Staphylococcus aureus plasmid SAP051A, complete sequence",23059,30.38
1816,NC_013300.1,"Staphylococcus aureus plasmid SAP051B, complete sequence",3125,28.74
1817,NC_013301.1,"Staphylococcus aureus plasmid SAP053A, complete sequence",20672,28.39
1818,NC_013302.1,"Staphylococcus aureus plasmid SAP070A, complete sequence",3011,28.99
1819,NC_013303.1,"Staphylococcus aureus plasmid SAP072A, complete sequence",20653,28.38
1820,NC_013304.1,"Staphylococcus aureus plasmid SAP073A, complete sequence",20729,28.38
1821,NC_013305.1,"Staphylococcus aureus plasmid SAP078B, complete sequence",2415,30.89
1822,NC_013306.1,"Staphylococcus aureus plasmid SAP084A, complete sequence",4595,31.49
1823,NC_013307.1,"Staphylococcus aureus plasmid SAP085A, complete sequence",4439,30.05
1824,NC_013308.1,"Staphylococcus aureus plasmid SAP089A, complete sequence",4595,31.53
1825,NC_013309.1,"Staphylococcus aureus plasmid SAP093A, complete sequence",4439,30.05
1826,NC_013310.1,"Staphylococcus aureus plasmid SAP093B, complete sequence",1290,36.43
1827,NC_013311.1,"Staphylococcus aureus plasmid SAP094A, complete sequence",4439,30.05
1828,NC_013312.1,"Staphylococcus aureus plasmid SAP095B, complete sequence",4439,30.03
1829,NC_013313.1,"Staphylococcus aureus plasmid pWBG763, complete sequence",20730,28.37
1830,NC_013314.1,"Staphylococcus aureus plasmid SAP065A, complete sequence",2908,29.4
1831,NC_013317.1,"Enterococcus faecium plasmid p5753cA, complete sequence",21806,37.56
1832,NC_013318.1,"Staphylococcus aureus plasmid SAP012A, complete sequence",27267,27.17
1833,NC_013319.1,"Staphylococcus aureus plasmid pI258, complete sequence",29254,33.74
1834,NC_013320.1,"Staphylococcus aureus plasmid SAP014A, complete sequence",50429,29.93
1835,NC_013321.1,"Staphylococcus aureus plasmid SAP017A, complete sequence",32650,29.77
1836,NC_013322.1,"Staphylococcus aureus plasmid SAP019A, complete sequence",27435,30.7
1837,NC_013323.1,"Staphylococcus aureus plasmid pCM05, complete sequence",33660,32.45
1838,NC_013324.1,"Staphylococcus aureus plasmid SAP027A, complete sequence",29646,30.54
1839,NC_013325.1,"Staphylococcus aureus plasmid pWBG745, complete sequence",38204,29.91
1840,NC_013326.1,"Staphylococcus aureus plasmid pWBG746, complete sequence",33702,28.2
1841,NC_013327.1,"Staphylococcus aureus plasmid pWBG749, complete sequence",38087,30.06
1842,NC_013328.1,"Staphylococcus aureus plasmid pWBG753, complete sequence",30047,29.85
1843,NC_013329.1,"Staphylococcus aureus plasmid pWBG758, complete sequence",38045,32.24
1844,NC_013330.1,"Staphylococcus aureus plasmid pWBG759, complete sequence",28384,28.51
1845,NC_013331.1,"Staphylococcus aureus plasmid SAP047A, complete sequence",28974,27.91
1846,NC_013332.1,"Staphylococcus aureus plasmid SAP052A, complete sequence",32445,30.93
1847,NC_013333.1,"Staphylococcus aureus plasmid SAP055A, complete sequence",20453,29.09
1848,NC_013334.1,"Staphylococcus aureus plasmid SAP057A, complete sequence",39308,27.74
1849,NC_013335.1,"Staphylococcus aureus plasmid SAP060A, complete sequence",22987,27.27
1850,NC_013336.1,"Staphylococcus aureus plasmid SAP060B, complete sequence",4498,30.1
1851,NC_013337.1,"Staphylococcus aureus plasmid SAP064A, complete sequence",30857,32.14
1852,NC_013338.1,"Staphylococcus aureus plasmid SAP068A, complete sequence",50500,29.33
1853,NC_013339.1,"Staphylococcus aureus plasmid SAP069A, complete sequence",42198,28.7
1854,NC_013340.1,"Staphylococcus aureus plasmid SAP076A, complete sequence",35114,30.28
1855,NC_013341.1,"Staphylococcus aureus plasmid SAP077B, complete sequence",13342,30.12
1856,NC_013342.1,"Staphylococcus aureus plasmid SAP079A, complete sequence",47322,28.83
1857,NC_013343.1,"Staphylococcus aureus plasmid SAP080A, complete sequence",43892,29.25
1858,NC_013344.1,"Staphylococcus aureus plasmid SAP082A, complete sequence",44116,29.18
1859,NC_013345.1,"Staphylococcus aureus plasmid SAP085B, complete sequence",3961,32.59
1860,NC_013346.1,"Staphylococcus aureus plasmid SAP087A, complete sequence",2396,27.75
1861,NC_013347.1,"Staphylococcus aureus plasmid pSK62, complete sequence",22694,34.74
1862,NC_013348.1,"Staphylococcus aureus plasmid pSK156, complete sequence",45052,28.98
1863,NC_013349.1,"Staphylococcus aureus plasmid SAP099B, complete sequence",16428,29.71
1864,NC_013350.1,"Staphylococcus aureus plasmid pWBG754, complete sequence",2241,30.21
1865,NC_013351.1,"Staphylococcus aureus plasmid SAP063A, complete sequence",26016,28.22
1866,NC_013352.1,"Staphylococcus aureus plasmid pSK76, complete sequence",23983,33.67
1867,NC_013354.1,"Escherichia coli O103:H2 str. 12009 plasmid pO103 DNA, complete sequence",75546,49.11
1868,NC_013356.1,"Zymomonas mobilis subsp. mobilis NCIMB 11163 plasmid pZA1001, complete sequence",53380,42.32
1869,NC_013357.1,"Zymomonas mobilis subsp. mobilis NCIMB 11163 plasmid pZA1002, complete sequence",40818,43.8
1870,NC_013358.1,"Zymomonas mobilis subsp. mobilis NCIMB 11163 plasmid pZA1003, complete sequence",4551,36.37
1871,NC_013362.1,"Escherichia coli O26:H11 str. 11368 plasmid pO26_2 DNA, complete sequence",63365,52.5
1872,NC_013363.1,"Escherichia coli O26:H11 str. 11368 plasmid pO26_3 DNA, complete sequence",5686,46.22
1873,NC_013365.1,"Escherichia coli O111:H- str. 11128 plasmid pO111_1 DNA, complete sequence",204604,46.99
1874,NC_013366.1,"Escherichia coli O111:H- str. 11128 plasmid pO111_3 DNA, complete sequence",77690,49.99
1875,NC_013367.1,"Escherichia coli O111:H- str. 11128 plasmid pO111_4 DNA, complete sequence",8140,49.64
1876,NC_013368.1,"Escherichia coli O111:H- str. 11128 plasmid pO111_5 DNA, complete sequence",6673,50.2
1877,NC_013369.1,"Escherichia coli O26:H11 str. 11368 plasmid pO26_1 DNA, complete sequence",85167,47.48
1878,NC_013370.1,"Escherichia coli O111:H- str. 11128 plasmid pO111_2 DNA, complete sequence",97897,48.16
1879,NC_013371.1,"Staphylococcus sp. 693-2 plasmid SAP008A, complete sequence",9968,28.35
1880,NC_013372.1,"Staphylococcus epidermidis plasmid SAP016A, complete sequence",43807,31.1
1881,NC_013373.1,"Staphylococcus sp. CDC3 plasmid SAP020A, complete sequence",64909,29.11
1882,NC_013374.1,"Staphylococcus epidermidis plasmid SAP045A, complete sequence",37564,28.05
1883,NC_013375.2,"Staphylococcus aureus SK6575 plasmid SAP104A, complete sequence",3011,28.99
1884,NC_013376.2,"Staphylococcus aureus SK6575 plasmid SAP104B, complete sequence",1552,33.51
1885,NC_013377.1,"Staphylococcus epidermidis plasmid SAP105A, complete sequence",26236,32.73
1886,NC_013378.1,"Staphylococcus epidermidis plasmid SAP105B, complete sequence",16775,27.43
1887,NC_013379.2,"Staphylococcus epidermidis plasmid SAP106A, complete sequence",38556,27.7
1888,NC_013380.1,"Staphylococcus epidermidis plasmid SAP106B, complete sequence",8435,32.69
1889,NC_013381.1,"Staphylococcus epidermidis plasmid SAP107A, complete sequence",42623,32.3
1890,NC_013382.1,"Staphylococcus epidermidis plasmid SAP107B, complete sequence",10445,29.86
1891,NC_013383.1,"Staphylococcus epidermidis plasmid SAP110A, complete sequence",24711,29.14
1892,NC_013384.1,"Staphylococcus epidermidis plasmid SAP110B, complete sequence",6794,30.07
1893,NC_013386.1,"Ammonifex degensii KC4 plasmid pADEG01, complete sequence",27830,60.74
1894,NC_013387.1,"Staphylococcus sp. CDC25 plasmid SAP018A, complete sequence",32487,30.49
1895,NC_013388.1,"Staphylococcus sp. CDC25 plasmid SAP018B, complete sequence",8226,32.41
1896,NC_013389.1,"Staphylococcus epidermidis plasmid SAP108A, complete sequence",24518,29.13
1897,NC_013390.1,"Staphylococcus epidermidis plasmid SAP108B, complete sequence",6206,31.78
1898,NC_013391.1,"Staphylococcus epidermidis plasmid SAP108C, complete sequence",4572,32.74
1899,NC_013392.2,"Staphylococcus epidermidis plasmid SAP108D, complete sequence",2422,28.03
1900,NC_013393.1,"Staphylococcus epidermidis plasmid pSK105, complete sequence",23263,30.43
1901,NC_013394.1,"Staphylococcus epidermidis plasmid pSK103, complete sequence",4607,31.47
1902,NC_013395.1,"Staphylococcus epidermidis plasmid pSK108, complete sequence",2418,30.19
1903,NC_013412.1,"Geobacillus sp. Y412MC61, complete sequence",45057,45.31
1904,NC_013417.1,"Streptomyces sp. x3 plasmid pTSC2, complete sequence",7516,72.29
1905,NC_013419.1,"Blattabacterium sp. (Periplaneta americana) str. BPLAN plasmid pBPLAN, complete sequence",3448,28.45
1906,NC_013420.1,"Streptomyces sp. ZL12 plasmid pZL12, complete sequence",90435,69.47
1907,NC_013437.1,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid pSLT-BT, complete sequence",117047,53.5
1908,NC_013442.1,"Gordonia bronchialis DSM 43247 plasmid pGBRO01, complete sequence",81410,65.13
1909,NC_013448.1,"Nocardia aobensis plasmid pYS1, complete sequence",4326,65.12
1910,NC_013449.1,"Streptomyces sp. W9 plasmid pCQ3, complete sequence",85518,69.33
1911,NC_013451.1,"Staphylococcus aureus subsp. aureus ED98 plasmid pAVY, complete sequence",1442,35.58
1912,NC_013452.1,"Staphylococcus aureus subsp. aureus ED98 plasmid pT181, complete sequence",4440,30.07
1913,NC_013453.1,"Staphylococcus aureus subsp. aureus ED98 plasmid pAVX, complete sequence",17256,28.96
1914,NC_013500.1,"Moraxella bovis strain ATCC 10900 plasmid pMbo4.6, complete sequence",4658,38.56
1915,NC_013502.1,"Rhodothermus marinus DSM 4252 plasmid pRMAR01, complete sequence",125133,58.23
1916,NC_013503.1,"Escherichia coli plasmid pMAS2027, complete sequence",42644,43.43
1917,NC_013505.1,"Lactobacillus johnsonii FI9785 plasmid p9785L, complete sequence",25652,30.38
1918,NC_013506.1,"Acinetobacter baumannii plasmid pMMCU2, complete sequence",10270,36.19
1919,NC_013507.1,"Escherichia coli ETEC H10407 plasmid pEntH10407, complete sequence",67094,51.16
1920,NC_013509.1,"Edwardsiella tarda EIB202 plasmid pEIB202, complete sequence",43703,57.33
1921,NC_013513.1,"Paracoccus aminophilus strain JCM 7686 plasmid pAMI3, complete sequence",5575,60.84
1922,NC_013514.1,"Enterococcus faecalis plasmid pAMbeta1, complete sequence",27815,33.6
1923,NC_013516.1,"Streptobacillus moniliformis DSM 12112 plasmid pSMON01, complete sequence",10702,20.87
1924,NC_013518.1,"Sebaldella termitidis ATCC 33386 plasmid pSTERM01, complete sequence",54160,28.19
1925,NC_013519.1,"Sebaldella termitidis ATCC 33386 plasmid pSTERM02, complete sequence",13648,29.38
1926,NC_013531.1,"Xylanimonas cellulosilytica DSM 15894 plasmid pXCEL01, complete sequence",88604,70.95
1927,NC_013533.1,"Enterococcus faecalis plasmid pBEE99, complete sequence",80600,34.9
1928,NC_013534.1,"Bacillus pumilus plasmid pPZZ84, complete sequence",6817,36.79
1929,NC_013537.1,"Bacillus subtilis strain ATCC 15841 plasmid pPL1, complete sequence",6704,39.99
1930,NC_013538.1,"Nocardia sp. C-14-1 plasmid pC1, complete sequence",5841,65.13
1931,NC_013539.1,"Planococcus sp. ZOYM plasmid pPCZ1, complete sequence",4738,37.15
1932,NC_013540.1,"Planococcus sp. ZOYM plasmid pPCZ2, complete sequence",7975,36.64
1933,NC_013541.1,"Lactobacillus plantarum plasmid pLP2140, complete sequence",2140,38.27
1934,NC_013542.1,"Klebsiella pneumoniae plasmid pKF3-70, complete sequence",70057,52.29
1935,NC_013543.1,"Lactobacillus paracasei subsp. paracasei plasmid pCD01, complete sequence",19882,39.49
1936,NC_013544.1,"Lactobacillus paracasei subsp. paracasei plasmid pCD02, complete sequence",8554,39.49
1937,NC_013545.1,"Sinorhizobium meliloti plasmid pSmeSM11a, complete sequence",144170,59.54
1938,NC_013546.1,"Actinobacillus pleuropneumoniae plasmid p11745, complete sequence",5486,38.1
1939,NC_013547.1,"Helicobacter pylori plasmid pAL226, complete sequence",9897,35.79
1940,NC_013548.1,"Rhodopseudomonas palustris plasmid pRPSZY, complete sequence",2306,47.96
1941,NC_013549.1,"Buchnera aphidicola plasmid pleu-BTg, complete sequence",6521,23.89
1942,NC_013550.1,"Staphylococcus aureus plasmid pBORa53, complete sequence",17334,28.4
1943,NC_013551.1,"Lactococcus lactis plasmid pSK11B, complete sequence",13332,34.26
1944,NC_013589.1,"Escherichia coli plasmid pColE1-H22, complete sequence",5159,45.8
1945,NC_013596.1,"Streptosporangium roseum DSM 43021 plasmid pSROS01, complete sequence",28204,69.58
1946,NC_013636.1,"Pseudoalteromonas sp. BSi20327 plasmid pSM327, complete sequence",6114,37.47
1947,NC_013652.1,"Escherichia coli plasmid pPM18, complete sequence",2330,52.45
1948,NC_013653.1,"Staphylococcus aureus plasmid pPR9, complete sequence",41715,28.27
1949,NC_013655.1,"Escherichia coli SE15 plasmid pECSF1 DNA, complete genome",122345,51.04
1950,NC_013657.1,"Lactococcus lactis subsp. lactis KF147 plasmid pKF147A, complete genome",37510,32.38
1951,NC_013667.2,"Streptomyces sp. Y27 plasmid pWTY27, complete sequence",14288,71.82
1952,NC_013717.1,"Citrobacter rodentium ICC168 plasmid pCROD1, complete sequence",54449,47.16
1953,NC_013718.1,"Citrobacter rodentium ICC168 plasmid pCROD2, complete sequence",39265,41.75
1954,NC_013719.1,"Citrobacter rodentium ICC168 plasmid pCROD3, complete sequence",3910,51.0
1955,NC_013726.1,"Corynebacterium glutamicum plasmid pCGR2, complete sequence",24235,53.87
1956,NC_013727.1,Shigella sonnei plasmid pEG356 complete sequence,70275,52.26
1957,NC_013728.1,"Escherichia coli O26:H- plasmid pO26-CRL, complete sequence",111481,49.67
1958,NC_013767.1,"Listeria monocytogenes 08-5578 plasmid pLM5578, complete sequence",77054,36.59
1959,NC_013775.1,"Photobacterium damselae subsp. piscicida plasmid pPHDP10, complete sequence",9631,39.25
1960,NC_013776.1,"Selenomonas ruminantium strain 19 plasmid pSRD192, complete sequence",2334,42.5
1961,NC_013779.1,"Nocardiopsis sp. 90127 plasmid pSQ10, complete sequence",18219,71.91
1962,NC_013780.1,"Aeromonas hydrophila plasmid pAH3680, complete sequence",3680,55.82
1963,NC_013782.1,"Escherichia coli plasmid pEC14-9, complete sequence",3071,48.23
1964,NC_013783.1,"Lactococcus lactis subsp. lactis plasmid pAR141, complete sequence",1594,36.14
1965,NC_013784.1,"Zymomonas mobilis subsp. mobilis ZM4 plasmid pZZM401, complete sequence",37066,42.38
1966,NC_013785.1,"Zymomonas mobilis subsp. mobilis ZM4 plasmid pZZM402, complete sequence",33915,42.28
1967,NC_013786.1,"Zymomonas mobilis subsp. mobilis ZM4 plasmid pZZM403, complete sequence",32801,43.3
1968,NC_013787.1,"Zymomonas mobilis subsp. mobilis ZM4 plasmid pZZM404, complete sequence",32400,43.69
1969,NC_013788.1,"Zymomonas mobilis subsp. mobilis ZM4 plasmid pZZM405, complete sequence",30952,43.7
1970,NC_013789.1,"Lactobacillus plantarum plasmid pXY3, complete sequence",2968,38.24
1971,NC_013792.1,"Bacillus pseudofirmus OF4 plasmid pBpOF4-01, complete sequence",285222,35.98
1972,NC_013793.1,"Bacillus pseudofirmus OF4 plasmid pBpOF4-02, complete sequence",105029,35.45
1973,NC_013852.1,"Allochromatium vinosum DSM 180 plasmid pALVIN01, complete sequence",102242,61.94
1974,NC_013855.1,"Azospirillum sp. B510 plasmid pAB510a DNA, complete genome",1455109,67.64
1975,NC_013856.1,"Azospirillum sp. B510 plasmid pAB510b DNA, complete genome",723779,67.46
1976,NC_013857.1,"Azospirillum sp. B510 plasmid pAB510c DNA, complete genome",681723,67.4
1977,NC_013858.1,"Azospirillum sp. B510 plasmid pAB510d DNA, complete genome",628837,67.97
1978,NC_013859.1,"Azospirillum sp. B510 plasmid pAB510e DNA, complete genome",537299,67.51
1979,NC_013860.1,"Azospirillum sp. B510 plasmid pAB510f DNA, complete genome",261596,65.88
1980,NC_013862.1,"Allochromatium vinosum DSM 180 plasmid pALVIN02, complete sequence",39929,53.47
1981,NC_013930.1,Thioalkalivibrio sp. K90mix plasmid pTK9001 sequence,240256,61.74
1982,NC_013937.1,"Candidatus Rickettsia amblyommii AaR/SC plasmid pRAM23, complete sequence",22852,33.41
1983,NC_013938.1,"Candidatus Rickettsia amblyommii AaR/SC plasmid pRAM18, complete sequence",18344,32.15
1984,NC_013940.1,"Deferribacter desulfuricans SSM1 plasmid megaplasmid pDF308 DNA, complete genome",308544,24.46
1985,NC_013942.1,"Escherichia coli O55:H7 str. CB9615 plasmid pO55, complete sequence",66001,48.87
1986,NC_013944.1,"Staphylococcus simulans bv. staphylolyticus strain NRRL B-2628 plasmid pACK1, complete sequence",55171,31.39
1987,NC_013945.1,"Staphylococcus simulans bv. staphylolyticus strain NRRL B-2628 plasmid pACK3, complete sequence",28613,31.35
1988,NC_013950.1,"Klebsiella pneumoniae plasmid pKF3-94, complete sequence",94219,51.59
1989,NC_013951.1,"Klebsiella pneumoniae plasmid pKF3-140, complete sequence",147416,52.46
1990,NC_013952.1,"Lactobacillus paracasei TXW plasmid pTXW, complete sequence",3178,42.86
1991,NC_013954.1,Erwinia pyrifoliae strain Ep1/96 complete plasmid pEp2.6,2590,44.9
1992,NC_013957.1,Erwinia amylovora CFBP1430 plasmid pEA29,28259,50.24
1993,NC_013958.1,"Nitrosococcus halophilus Nc4 plasmid pNHAL01, complete sequence",65833,52.96
1994,NC_013962.1,"Candidatus Riesia pediculicola USDA plasmid pPAN, complete sequence",7737,35.25
1995,NC_013963.1,"Bacillus sp. BS-01 plasmid pBS-01, complete sequence",16492,33.43
1996,NC_013969.1,"Staphylococcus aureus plasmid pDLK3, complete sequence",1365,32.01
1997,NC_013970.2,"Sphingomonas sp. MM-1 plasmid pISP3 DNA, complete sequence",5297,60.79
1998,NC_013972.1,Erwinia amylovora ATCC 49946 plasmid 1,28243,50.24
1999,NC_013973.1,Erwinia amylovora ATCC 49946 plasmid 2,71487,55.7
2000,NC_014003.1,"Salmonella enterica subsp. enterica serovar Newport plasmid pSN11/00Kan, complete sequence",5698,52.77
2001,NC_014005.1,"Sphingobium japonicum UT26S plasmid pUT1 DNA, complete genome",31776,63.69
2002,NC_014007.1,"Sphingobium japonicum UT26S plasmid pCHQ1 DNA, complete genome",190974,62.96
2003,NC_014009.1,"Sphingobium japonicum UT26S plasmid pUT2 DNA, complete genome",5398,60.99
2004,NC_014015.1,"Sporosarcina ureae plasmid pSU1 strain DMV4, complete sequence",5031,36.77
2005,NC_014016.1,"Klebsiella pneumoniae plasmid pKpQIL, complete sequence",113637,53.93
2006,NC_014017.1,"Yersinia pestis Z176003 plasmid pCD1, complete sequence",68342,44.64
2007,NC_014022.1,"Yersinia pestis Z176003 plasmid pMT1, complete sequence",94251,50.2
2008,NC_014023.1,"Bacillus megaterium QM B1551 plasmid pBM700, complete sequence",164406,33.49
2009,NC_014025.1,"Bacillus megaterium QM B1551 plasmid pBM500, complete sequence",66985,33.91
2010,NC_014026.1,Salinibacter ruber M8 plasmid pSR11 complete sequence,11229,63.29
2011,NC_014027.1,"Yersinia pestis Z176003 plasmid pPCP1, complete sequence",9609,45.28
2012,NC_014028.1,Salinibacter ruber M8 plasmid pSR56 complete sequence,56529,60.03
2013,NC_014030.1,Salinibacter ruber M8 plasmid pSR61 complete sequence,61373,59.58
2014,NC_014031.1,"Bacillus megaterium QM B1551 plasmid pBM600, complete sequence",99694,32.97
2015,NC_014035.1,"Rhodobacter capsulatus SB 1003 plasmid pRCB133, complete sequence",132962,66.47
2016,NC_014104.1,"Bacillus amyloliquefaciens plasmid pBSG3, complete sequence",8439,40.32
2017,NC_014105.1,"Neisseria gonorrhoeae plasmid pEP5289, complete sequence",42004,47.95
2018,NC_014107.1,"Enterobacter cloacae subsp. cloacae ATCC 13047 plasmid pECL_A, complete sequence",199562,52.47
2019,NC_014108.1,"Enterobacter cloacae subsp. cloacae ATCC 13047 plasmid pECL_B, complete sequence",84653,46.84
2020,NC_014111.1,"Xylella fastidiosa plasmid pXF-RIV11, complete sequence",25105,49.03
2021,NC_014113.1,"Xylella fastidiosa plasmid pXF-RIV19, complete sequence",24372,49.02
2022,NC_014120.1,"Burkholderia sp. CCGE1002 plasmid pBC201, complete sequence",489136,59.17
2023,NC_014123.1,"'Rehmannia glutinosa' phytoplasma plasmid pPARG1, complete sequence",4371,24.55
2024,NC_014124.1,"Pseudomonas putida plasmid pDK1, complete sequence",128921,55.98
2025,NC_014131.1,"Leuconostoc kimchii IMSNU 11154 plasmid LkipL4701, complete sequence",21055,34.25
2026,NC_014132.1,"Leuconostoc kimchii IMSNU 11154 plasmid LkipL4704, complete sequence",23275,35.55
2027,NC_014133.1,"Leuconostoc kimchii IMSNU 11154 plasmid LkipL4719, complete sequence",21924,39.09
2028,NC_014134.1,"Leuconostoc kimchii IMSNU 11154 plasmid LkipL4726, complete sequence",29616,35.51
2029,NC_014135.1,"Leuconostoc kimchii IMSNU 11154 plasmid LkipL48, complete sequence",3196,37.08
2030,NC_014144.1,"Thiomonas sp. str. 3As plasmid pTHI, complete genome",46756,60.49
2031,NC_014149.1,"Planctopirus limnophila DSM 3776 plasmid pPLIM01, complete sequence",37010,57.03
2032,NC_014154.1,"Thiomonas intermedia K12 plasmid pTINT01, complete sequence",45943,61.5
2033,NC_014155.1,"Thiomonas intermedia K12 plasmid pTINT02, complete sequence",19774,60.1
2034,NC_014156.1,"Staphylococcus aureus subsp. aureus ST398 plasmid pKKS627, complete sequence",6242,33.79
